,Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken,n_PCA,Fator_balanc,Normalizacao
157,Perceptron,0.7318397827562797,0.5,0.5,0.6185208042424692,0.02500629425048828,3,0.37,NAO
158,CalibratedClassifierCV,0.7318397827562797,0.5,0.5,0.6185208042424692,1.294983148574829,3,0.37,NAO
159,SGDClassifier,0.7318397827562797,0.5,0.5,0.6185208042424692,0.037979841232299805,3,0.37,NAO
160,SVC,0.7318397827562797,0.5,0.5,0.6185208042424692,2.327008008956909,3,0.37,NAO
161,BernoulliNB,0.7318397827562797,0.5,0.5,0.6185208042424692,0.023028850555419922,3,0.37,NAO
162,GaussianNB,0.7196198234894773,0.49846821352246307,0.498468213522463,0.6223103726481907,0.01999950408935547,3,0.37,NAO
163,NearestCentroid,0.7067209775967414,0.7094038420891947,0.7094038420891946,0.7215923586127693,0.018999576568603516,5,0.37,SIM
164,SGDClassifier,0.7437202987101154,0.6484670392898241,0.6484670392898242,0.7363217004919296,0.03600025177001953,5,0.37,SIM
165,Perceptron,0.725050916496945,0.6381179399262582,0.6381179399262582,0.7216366755240164,0.0220186710357666,5,0.37,SIM
166,QuadraticDiscriminantAnalysis,0.7447386286490156,0.631117752049036,0.631117752049036,0.7304522729352796,0.0209808349609375,5,0.37,SIM
167,LGBMClassifier,0.7586558044806517,0.6285960874568469,0.6285960874568469,0.7364412514752645,0.20099902153015137,5,0.37,SIM
168,XGBClassifier,0.7498302783435167,0.6241704046405674,0.6241704046405674,0.7300568303285474,0.8169989585876465,5,0.37,SIM
169,LinearDiscriminantAnalysis,0.7542430414120842,0.6219722411404147,0.6219722411404147,0.7311328005519231,0.03500080108642578,5,0.37,SIM
170,GaussianNB,0.7471147318397827,0.6215131161785773,0.6215131161785774,0.7274983975979435,0.023998260498046875,5,0.37,SIM
171,AdaBoostClassifier,0.7443991853360489,0.619657828609004,0.6196578286090041,0.725314328488733,0.471022367477417,5,0.37,SIM
172,BernoulliNB,0.7464358452138493,0.619044292055142,0.619044292055142,0.7260182201406885,0.023988008499145508,5,0.37,SIM
173,LogisticRegression,0.7532247114731839,0.6180685047321576,0.6180685047321575,0.7287162785981978,0.03275609016418457,5,0.37,SIM
174,RandomForestClassifier,0.7447386286490156,0.6170827364317418,0.6170827364317418,0.7242792356005259,1.7809998989105225,5,0.37,SIM
175,PassiveAggressiveClassifier,0.7471147318397827,0.6158991099316596,0.6158991099316596,0.7248295951646164,0.027982234954833984,5,0.37,SIM
176,LabelSpreading,0.7464358452138493,0.6146332871468495,0.6146332871468495,0.7238936713338313,5.923128128051758,5,0.37,SIM
177,LabelPropagation,0.7443991853360489,0.6120388201310444,0.6120388201310443,0.7216759498184404,4.069000720977783,5,0.37,SIM
178,BaggingClassifier,0.7403258655804481,0.6112608910077264,0.6112608910077264,0.7194162495416688,0.4270162582397461,5,0.37,SIM
