,Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken,n_PCA,encoder,Fator_balanc,Normalizacao
155,DummyClassifier,0.6502083333333334,0.4912828395498363,0.4912828395498363,0.6497936356891713,0.03127479553222656,6,LabelEncoder,N/A,NAO
156,NearestCentroid,0.753125,0.6874616475168751,0.6874616475168751,0.7624494233156921,0.03199410438537598,11,LabelEncoder,N/A,SIM
157,QuadraticDiscriminantAnalysis,0.66375,0.6833316707626362,0.6833316707626363,0.6917077310642661,0.05757951736450195,11,LabelEncoder,N/A,SIM
158,GaussianNB,0.7483333333333333,0.6735995864733249,0.6735995864733247,0.7566338513663883,0.0429997444152832,11,LabelEncoder,N/A,SIM
159,LGBMClassifier,0.8045833333333333,0.6318569705543615,0.6318569705543615,0.7804912515273971,0.4641458988189697,11,LabelEncoder,N/A,SIM
160,XGBClassifier,0.7972916666666666,0.626501225768032,0.626501225768032,0.7744191903621017,2.4703476428985596,11,LabelEncoder,N/A,SIM
161,AdaBoostClassifier,0.8020833333333334,0.6262072530402372,0.6262072530402372,0.7768564548853769,1.3178632259368896,11,LabelEncoder,N/A,SIM
162,LinearDiscriminantAnalysis,0.8025,0.6241154368177793,0.6241154368177791,0.77620321929193,0.09612536430358887,11,LabelEncoder,N/A,SIM
163,RandomForestClassifier,0.795,0.6206482212004969,0.620648221200497,0.7708445059085602,4.7708728313446045,11,LabelEncoder,N/A,SIM
164,BernoulliNB,0.7972916666666666,0.6167268214973414,0.6167268214973414,0.7703742557061711,0.042016029357910156,11,LabelEncoder,N/A,SIM
165,ExtraTreesClassifier,0.791875,0.6159454132697324,0.6159454132697325,0.7672811223119512,1.7140884399414062,11,LabelEncoder,N/A,SIM
166,KNeighborsClassifier,0.7772916666666667,0.6139971826983825,0.6139971826983825,0.7588626463490385,0.787729024887085,11,LabelEncoder,N/A,SIM
167,LogisticRegression,0.8052083333333333,0.6123723976990021,0.6123723976990021,0.7722755342592117,0.06676602363586426,11,LabelEncoder,N/A,SIM
168,SGDClassifier,0.8029166666666666,0.6095528289396124,0.6095528289396124,0.7698408591581869,0.12949228286743164,11,LabelEncoder,N/A,SIM
169,CalibratedClassifierCV,0.8047916666666667,0.6087343907282967,0.6087343907282966,0.7703118333599029,4.191181421279907,11,LabelEncoder,N/A,SIM
170,LabelPropagation,0.7485416666666667,0.6026161305631883,0.6026161305631883,0.7391393932029378,11.29170823097229,11,LabelEncoder,N/A,SIM
171,LabelSpreading,0.7514583333333333,0.6024664992004546,0.6024664992004546,0.7407088328140269,20.23969578742981,11,LabelEncoder,N/A,SIM
172,ExtraTreeClassifier,0.7154166666666667,0.6015709781659124,0.6015709781659124,0.7192979108370735,0.04498577117919922,11,LabelEncoder,N/A,SIM
173,SVC,0.799375,0.6005379171918879,0.6005379171918879,0.7637671562832377,8.646400690078735,11,LabelEncoder,N/A,SIM
174,LinearSVC,0.8014583333333334,0.5981679982346522,0.5981679982346523,0.7634349651111666,1.3765432834625244,11,LabelEncoder,N/A,SIM
175,DecisionTreeClassifier,0.7152083333333333,0.5957073936030326,0.5957073936030325,0.7176583190237099,0.2771639823913574,11,LabelEncoder,N/A,SIM
176,BaggingClassifier,0.7764583333333334,0.5942503771012626,0.5942503771012627,0.7503434460614303,1.5687193870544434,11,LabelEncoder,N/A,SIM
177,RidgeClassifier,0.8,0.5925129907228556,0.5925129907228556,0.7597773911326646,0.058942317962646484,11,LabelEncoder,N/A,SIM
178,RidgeClassifierCV,0.8,0.5925129907228556,0.5925129907228556,0.7597773911326646,0.05418229103088379,11,LabelEncoder,N/A,SIM
179,PassiveAggressiveClassifier,0.77125,0.5602349363537709,0.5602349363537709,0.7309430757387158,0.06081748008728027,11,LabelEncoder,N/A,SIM
180,Perceptron,0.6945833333333333,0.5450526430339799,0.5450526430339799,0.6907956464873283,0.045983314514160156,11,LabelEncoder,N/A,SIM
181,DummyClassifier,0.6502083333333334,0.4912828395498363,0.4912828395498363,0.6497936356891713,0.037009477615356445,11,LabelEncoder,N/A,SIM
182,NearestCentroid,0.5225,0.5980342368649358,0.5980342368649358,0.5578678938452851,0.06299829483032227,11,LabelEncoder,N/A,NAO
183,PassiveAggressiveClassifier,0.6870833333333334,0.5739420760369152,0.5739420760369152,0.694871901863213,0.06699466705322266,11,LabelEncoder,N/A,NAO
184,DecisionTreeClassifier,0.69,0.5707590088660361,0.5707590088660361,0.6958480225686327,0.2821061611175537,11,LabelEncoder,N/A,NAO
185,KNeighborsClassifier,0.7595833333333334,0.55780002599656,0.5578000259965601,0.725459197595006,0.7733547687530518,11,LabelEncoder,N/A,NAO
186,XGBClassifier,0.774375,0.5571856305526083,0.5571856305526083,0.7301424342831577,1.978841781616211,11,LabelEncoder,N/A,NAO
187,BaggingClassifier,0.7702083333333334,0.5555215484276615,0.5555215484276614,0.7278322956676058,1.5935251712799072,11,LabelEncoder,N/A,NAO
188,ExtraTreesClassifier,0.7847916666666667,0.5524140526521025,0.5524140526521025,0.7298188033823071,2.1821916103363037,11,LabelEncoder,N/A,NAO
189,RandomForestClassifier,0.7814583333333334,0.5482515801978761,0.5482515801978761,0.7261167018183889,6.083736181259155,11,LabelEncoder,N/A,NAO
190,GaussianNB,0.37854166666666667,0.5477361832817936,0.5477361832817936,0.37918910229241687,0.05100417137145996,11,LabelEncoder,N/A,NAO
